brand,product_name,price,color
NIKE,air max 97 men's sneakers shoes - black,2389000,Hitam
NIKE,p-6000 men's sneakers shoes - khaki,1429000,Ungu
NEW BALANCE,mr530 men's running shoes - moonbeam with sea salt,1599000,Neutral
LACOSTE,lacoste men's croco dualiste synthetic logo strap slides - black/white,699300,Hitam
ADIDAS,adidas samba og men's sneakers - ftwr white,1440000,Putih
NIKE,air max plus prm men's sneakers shoes - white,2849000,Putih
NEW BALANCE,1906 unisex sneakers shoes - grey,2599000,Abu-abu
NIKE,nike air max dn men's sneakers shoes - white,1189500,Putih
VANS,authentic unisex sneakers shoes- black 2,899000,Hitam
NIKE,air jordan 1 low men's basketball shoes - white,1729000,Putih
NIKE,air max plus men's sneakers shoes - aqua,2669000,Biru
PUMA,army trainer unisex sneakers shoes - black,479700,Hitam
NIKE,jordan post men's sandals - black,459000,Hitam
NIKE,air jordan 4 retro men's basketball shoes - black,3329000,Hitam
CONVERSE,chuck 70 hi unisex sneakers - black,1299000,Hitam
ASICS,gel-venture 6 xx unisex sneakers shoes - white,1499000,Putih
ASICS,gel-nyc unisex sneakers shoes - reddish brown,1999000,Coklat
NEW BALANCE,9060 unisex sneakers shoes - brown/black,1559400,Coklat
ADIDAS,adidas sl 72 rs men's sneakers - night indigo,960000,Biru
ASICS,asics ex89 unisex sneakers shoes - steeple grey,1199400,Abu-abu
ASICS,gel-kayano 14 unisex sneakers shoes - birch,2299000,Perak
ADIDAS,handball spezial men's sneakers shoes - light blue,1700000,Biru
